[000094/001000] L_error: 0.1594055593 	 S_error: 0.0512602776 
[000095/001000] L_error: 0.1580796987 	 S_error: 0.0512566082 
[000096/001000] L_error: 0.1567749679 	 S_error: 0.0512695946 
[000097/001000] L_error: 0.1554916352 	 S_error: 0.0512605794 
[000098/001000] L_error: 0.1542296559 	 S_error: 0.0512496196 
[000099/001000] L_error: 0.1529867798 	 S_error: 0.0512676239 
[000100/001000] L_error: 0.1517653763 	 S_error: 0.0512510315 
[000101/001000] L_error: 0.1505630314 	 S_error: 0.0512558147 
[000102/001000] L_error: 0.1493804753 	 S_error: 0.0512555949 
[000103/001000] L_error: 0.1482167542 	 S_error: 0.0512635782 
[000104/001000] L_error: 0.1470720768 	 S_error: 0.0512618273 
[000105/001000] L_error: 0.1459462345 	 S_error: 0.0512538590 
[000106/001000] L_error: 0.1448388398 	 S_error: 0.0512509681 
[000107/001000] L_error: 0.1437493861 	 S_error: 0.0512415580 
[000108/001000] L_error: 0.1426769346 	 S_error: 0.0512532480 
[000109/001000] L_error: 0.1416224241 	 S_error: 0.0512478463 
[000110/001000] L_error: 0.1405846775 	 S_error: 0.0512429327 
[000111/001000] L_error: 0.1395633966 	 S_error: 0.0512482710 
[000112/001000] L_error: 0.1385591030 	 S_error: 0.0512541570 
[000113/001000] L_error: 0.1375707090 	 S_error: 0.0512442291 
[000114/001000] L_error: 0.1365985274 	 S_error: 0.0512409993 
[000115/001000] L_error: 0.1356416494 	 S_error: 0.0512518100 
[000116/001000] L_error: 0.1346996874 	 S_error: 0.0512456521 
[000117/001000] L_error: 0.1337746829 	 S_error: 0.0512308963 
[000118/001000] L_error: 0.1328632534 	 S_error: 0.0512422472 
[000119/001000] L_error: 0.1319672018 	 S_error: 0.0512446463 
[000120/001000] L_error: 0.1310849786 	 S_error: 0.0512601472 
[000121/001000] L_error: 0.1302163005 	 S_error: 0.0512600392 
[000122/001000] L_error: 0.1293625385 	 S_error: 0.0512326956 
[000123/001000] L_error: 0.1285222173 	 S_error: 0.0512346104 
[000124/001000] L_error: 0.1276955605 	 S_error: 0.0512471050 
[000125/001000] L_error: 0.1268813759 	 S_error: 0.0512542091 
[000126/001000] L_error: 0.1260806173 	 S_error: 0.0512394160 
[000127/001000] L_error: 0.1252931952 	 S_error: 0.0512380116 
[000128/001000] L_error: 0.1245177537 	 S_error: 0.0512380414 
[000129/001000] L_error: 0.1237558424 	 S_error: 0.0512342006 
[000130/001000] L_error: 0.1230050698 	 S_error: 0.0512406528 
[000131/001000] L_error: 0.1222663969 	 S_error: 0.0512484126 
[000132/001000] L_error: 0.1215395629 	 S_error: 0.0512392931 
[000133/001000] L_error: 0.1208239794 	 S_error: 0.0512384735 
[000134/001000] L_error: 0.1201203614 	 S_error: 0.0512375124 
[000135/001000] L_error: 0.1194279864 	 S_error: 0.0512485318 
[000136/001000] L_error: 0.1187461168 	 S_error: 0.0512604564 
[000137/001000] L_error: 0.1180761009 	 S_error: 0.0512573272 
[000138/001000] L_error: 0.1174163520 	 S_error: 0.0512477085 
[000139/001000] L_error: 0.1167669892 	 S_error: 0.0512521192 
[000140/001000] L_error: 0.1161281168 	 S_error: 0.0512291901 
